LH,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2528,0.0000,0.0000,0.2528
27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2865
28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3233,0.3233,0.0000,0.3233,0.3233
29,0.0000,0.3632,0.0000,0.0000,0.3632,0.0000,0.3632,0.0000,0.0000,0.3632,0.3632,0.0000,0.3632,0.3632
30,0.0000,0.4065,0.4065,0.0000,0.4065,0.4065,0.4065,0.0000,0.0000,0.4065,0.4065,0.4065,0.4065,0.4065
31,0.0000,0.4532,0.0000,0.0000,0.4532,0.0000,0.4532,0.4532,0.0000,0.4532,0.4532,0.4532,0.4532,0.4532
32,0.0000,0.5036,0.5036,0.5036,0.5036,0.5036,0.5036,0.5036,0.0000,0.5036,0.5036,0.5036,0.5036,0.5036
33,0.0000,0.5578,0.5578,0.0000,0.5578,0.5578,0.5578,0.5578,0.0000,0.5578,0.5578,0.5578,0.5578,0.5578
34,0.0000,0.6159,0.6159,0.6159,0.6159,0.0000,0.6159,0.6159,0.0000,0.6159,0.6159,0.6159,0.6159,0.6159
35,0.0000,0.6781,0.6781,0.6781,0.6781,0.6781,0.6781,0.6781,0.0000,0.6781,0.6781,0.6781,0.6781,0.6781
36,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446,0.7446
37,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155,0.8155
38,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910
39,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713,0.9713
40,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564,1.0564
41,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467,1.1467
42,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422,1.2422
43,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431,1.3431
44,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497,1.4497
45,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620,1.5620
46,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802,1.6802
47,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046,1.8046
48,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352,1.9352
49,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723,2.0723
50,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161,2.2161
51,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667,2.3667
52,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243,2.5243
53,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891,2.6891
54,2.8612,2.8612,0.0000,2.8612,2.8612,2.8612,2.8612,2.8612,2.8612,2.8612,2.8612,2.8612,2.8612,2.8612
55,0.0000,0.0000,3.0410,3.0410,0.0000,3.0410,3.0410,3.0410,3.0410,3.0410,3.0410,3.0410,3.0410,3.0410
56,0.0000,0.0000,3.2284,0.0000,0.0000,0.0000,3.2284,3.2284,3.2284,3.2284,3.2284,3.2284,0.0000,0.0000
57,0.0000,3.4238,0.0000,0.0000,0.0000,0.0000,3.4238,3.4238,0.0000,0.0000,0.0000,0.0000,3.4238,0.0000
58,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6273,3.6273,3.6273,0.0000
59,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8392,0.0000,0.0000,0.0000,0.0000
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0595,0.0000,0.0000