yr;ct;cv_ct;cpuet;cv_cpue
1989;117;0.05;NA;NA
1990;1593;0.05;NA;NA
1991;3538;0.05;NA;NA
1992;3507;0.05;NA;NA
1993;3941;0.05;NA;NA
1994;4867;0.05;NA;NA
1995;5597;0.05;NA;NA
1996;5162;0.05;16.51;0.1
1997;3743;0.05;17.48;0.1
1998;3782;0.05;19.17;0.1
1999;5398;0.05;20.46;0.1
2000;4871;0.05;18.15;0.1
2001;6509;0.05;21.71;0.1
2002;3596;0.05;21.35;0.1
2003;3713;0.05;20.89;0.1
2004;3883;0.05;18.29;0.1
2005;3674;0.05;15.23;0.1
2006;1263;0.05;11.58;0.1
2007;2391;0.05;15.61;0.1
2008;2167;0.05;13.11;0.1
2009;2049;0.05;13.7;0.1
2010;3036;0.05;18.91;0.1
2011;2998;0.05;17.56;0.1
2012;2743;0.05;18.86;0.1
2013;993.4;0.05;16.39;0.1
2014;1104.8;0.05;18.83;0.1
2015;1520.2;0.05;18.67;0.1
2016;1083.7;0.05;20.46;0.1
2017;1249;0.05;20.79;0.1