Stock,Year,Catch,CPUE
ple-2123,1999,3406,4181
ple-2123,2000,3935,5164
ple-2123,2001,4054,6414
ple-2123,2002,3939,6771
ple-2123,2003,3618,6219
ple-2123,2004,2766,5814
ple-2123,2005,2354,5652
ple-2123,2006,2580,5542
ple-2123,2007,2691,5211
ple-2123,2008,2028,4913
ple-2123,2009,1635,4816
ple-2123,2010,1570,5344
ple-2123,2011,1584,6423
ple-2123,2012,1845,8053
ple-2123,2013,1956,10630
ple-2123,2014,1931,13218
ple-2123,2015,2687,15659
ple-2432,2002,1268,0.34
ple-2432,2003,1552,0.34
ple-2432,2004,1295,0.46
ple-2432,2005,1247,0.66
ple-2432,2006,1830,0.75
ple-2432,2007,1658,0.7
ple-2432,2008,1396,0.66
ple-2432,2009,1644,0.76
ple-2432,2010,1901,0.97
ple-2432,2011,2125,1.41
ple-2432,2012,1765,1.58
ple-2432,2013,1519,1.39
ple-2432,2014,1015,1.38
ple-2432,2015,647,1.69
AncudBay,2000,NA,0.971147619
AncudBay,2001,NA,0.970139171
AncudBay,2002,NA,1.11588091
AncudBay,2003,NA,1.143995289
AncudBay,2004,NA,1.191764014
AncudBay,2005,NA,1.06011449
AncudBay,2006,NA,1.09657041
AncudBay,2007,NA,1.136556221
AncudBay,2008,NA,1.231915728
AncudBay,2009,NA,1.161761553
AncudBay,2010,NA,1.111270884
AncudBay,2011,NA,1.102978472
AncudBay,2012,NA,0.910015991
AncudBay,2013,NA,0.845981793
AncudBay,2014,NA,0.842803959
AncudBay,2015,NA,0.812053568
AncudBay,2016,NA,0.815288082
AncudBay,2017,NA,0.881535783
AncudBay,2018,NA,0.808382695
AncudBay,2019,NA,0.798939626
ChaDa,2000,NA,0.858028164
ChaDa,2001,NA,0.850213689
ChaDa,2002,NA,1.260464509
ChaDa,2003,NA,1.335774964
ChaDa,2004,NA,1.467501286
ChaDa,2005,NA,1.087226641
ChaDa,2006,NA,1.185657643
ChaDa,2007,NA,1.294032029
ChaDa,2008,NA,1.559645862
ChaDa,2009,NA,1.354050439
ChaDa,2010,NA,1.205154033
ChaDa,2011,NA,1.176475217
ChaDa,2012,NA,0.621378516
ChaDa,2013,NA,0.433549515
ChaDa,2014,NA,0.418737619
ChaDa,2015,NA,0.324982031
ChaDa,2016,NA,0.327846131
ChaDa,2017,NA,0.510614243
ChaDa,2018,NA,0.296123713
ChaDa,2019,NA,0.263636192