Especies;YY;Desembarque
CONGRIO COLORADO;1957;3324
CONGRIO COLORADO;1958;3371
CONGRIO COLORADO;1959;2661
CONGRIO COLORADO;1960;2510
CONGRIO COLORADO;1961;2015
CONGRIO COLORADO;1962;2206
CONGRIO COLORADO;1963;1911
CONGRIO COLORADO;1964;2177
CONGRIO COLORADO;1965;1763
CONGRIO COLORADO;1966;2247
CONGRIO COLORADO;1967;2113
CONGRIO COLORADO;1968;2012
CONGRIO COLORADO;1969;1967
CONGRIO COLORADO;1970;1678
CONGRIO COLORADO;1971;1397
CONGRIO COLORADO;1972;1486
CONGRIO COLORADO;1973;1159
CONGRIO COLORADO;1974;1649
CONGRIO COLORADO;1975;1688
CONGRIO COLORADO;1976;1367
CONGRIO COLORADO;1977;1623
CONGRIO COLORADO;1978;1229
CONGRIO COLORADO;1979;1024
CONGRIO COLORADO;1980;1849
CONGRIO COLORADO;1981;1758
CONGRIO COLORADO;1982;1413
CONGRIO COLORADO;1983;867
CONGRIO COLORADO;1984;1156
CONGRIO COLORADO;1985;1475
CONGRIO COLORADO;1986;1490
CONGRIO COLORADO;1987;1442
CONGRIO COLORADO;1988;1347
CONGRIO COLORADO;1989;1458
CONGRIO COLORADO;1990;1323
CONGRIO COLORADO;1991;1111
CONGRIO COLORADO;1992;1203
CONGRIO COLORADO;1993;1411
CONGRIO COLORADO;1994;1712
CONGRIO COLORADO;1995;1082
CONGRIO COLORADO;1996;962
CONGRIO COLORADO;1997;745
CONGRIO COLORADO;1998;584
CONGRIO COLORADO;1999;415
CONGRIO COLORADO;2000;608
CONGRIO COLORADO;2001;730
CONGRIO COLORADO;2002;213
CONGRIO COLORADO;2003;100
CONGRIO COLORADO;2004;548
CONGRIO COLORADO;2005;389
CONGRIO COLORADO;2006;377
CONGRIO COLORADO;2007;395
CONGRIO COLORADO;2008;619
CONGRIO COLORADO;2009;654
CONGRIO COLORADO;2010;467
CONGRIO COLORADO;2011;855
CONGRIO COLORADO;2012;934
CONGRIO COLORADO;2013;640
CONGRIO COLORADO;2014;636
CONGRIO COLORADO;2015;615
CONGRIO COLORADO;2016;445
CONGRIO COLORADO;2017;449
CONGRIO COLORADO;2018;458
CONGRIO COLORADO;2019;394
CONGRIO COLORADO;2020;223
CONGRIO COLORADO;2021;302